route_id,avg_monthly_number_of_customers,avg_average_speed
B1,201898,6.89
B100,69013,9.16
B103,162145,8.15
B11,111834,6.16
B12,149447,6.1
B13,84688,8.1
B14,71303,6.68
B15,195874,7.52
B16,88336,7.41
B17,109754,7.7
B2,19977,8.67
B20,90999,7.32
B24,24072,8.42
B25,90154,6.33
B26,92451,7.27
B3,122296,6.96
B31,27879,9.67
B32,10389,8.05
B35,317158,5.76
B36,143558,7.69
B37,21864,7.83
B38,164529,6.62
B39,1773,12.68
B4,69205,7.5
B41,279499,7.02
B42,64547,7.82
B43,95571,6.54
B44,171593,7.21
B44+,149484,8.79
B45,50824,6.37
B46,191987,7.0
B46+,172329,8.32
B47,120505,6.82
B48,34371,6.6
B49,133762,7.62
B52,116990,6.33
B54,96904,6.1
B57,79801,7.12
B6,448826,7.62
B60,120307,6.76
B61,84338,7.37
B62,73459,7.12
B63,121941,5.75
B64,69437,8.11
B65,37976,6.72
B67,56488,7.03
B68,129546,7.56
B69,56647,7.16
B7,65981,7.52
B70,69237,6.65
B74,43746,7.08
B8,184994,6.78
B82,190542,7.18
B82+,185891,8.69
B83,80893,8.47
B84,5626,9.63
B9,145180,7.01
BX1,217562,6.75
BX10,127367,8.92
BX11,209426,6.17
BX12,169668,9.26
BX12+,386819,9.51
BX13,170215,6.35
BX15,241176,6.71
BX16,97880,9.34
BX17,148616,6.55
BX18A,28188,5.97
BX18B,35078,6.66
BX19,395461,5.96
BX2,263541,5.92
BX20,8767,7.66
BX21,175341,7.11
BX22,184267,6.69
BX23,49750,10.89
BX24,10003,9.72
BX25,46002,8.12
BX26,50545,7.5
BX27,87327,7.7
BX28,135601,7.41
BX29,13300,16.22
BX3,199372,7.37
BX30,88250,8.1
BX31,113947,8.03
BX32,91336,6.13
BX33,27418,6.88
BX34,39442,8.08
BX35,214732,5.71
BX36,333599,6.45
BX38,85459,7.37
BX39,217922,6.86
BX4,88407,6.23
BX40,137549,7.06
BX41,152826,7.43
BX41+,173149,8.77
BX42,131053,6.98
BX46,5828,11.07
BX4A,59959,6.2
BX5,125632,9.02
BX6,158465,7.15
BX6+,140837,7.68
BX7,170786,7.16
BX8,96056,8.73
BX9,350562,6.49
M1,117573,6.55
M10,80783,6.2
M100,141185,6.27
M101,270700,6.52
M102,137668,5.96
M103,86263,6.05
M104,69779,5.73
M106,24923,6.08
M11,146729,6.06
M116,105943,5.67
M12,12243,6.81
M125,145528,5.54
M14A+,127168,5.88
M14D+,238110,6.2
M15,134946,6.37
M15+,285359,8.24
M2,108223,6.95
M20,15928,6.08
M21,16953,6.08
M22,21857,5.91
M23+,128695,5.81
M3,151499,6.03
M31,99488,5.39
M34+,62261,5.57
M34A+,69324,5.53
M35,21362,11.99
M4,172573,6.06
M42,97669,5.18
M5,73860,7.04
M50,27287,5.33
M55,18841,6.62
M57,71011,5.03
M60+,151359,10.89
M66,71496,5.96
M7,129769,5.85
M72,43732,6.25
M79+,110015,6.68
M8,13911,5.61
M86+,213305,6.07
M9,55571,6.25
M96,140411,5.65
M98,21587,9.34
Q1,42341,9.14
Q10,202267,8.16
Q100,44553,11.93
Q101,34217,8.61
Q102,29004,8.06
Q103,18916,8.04
Q104,24897,6.19
Q11,45858,10.65
Q110,66349,8.26
Q111,174525,8.19
Q112,53649,6.39
Q113,59781,10.48
Q114,47603,10.06
Q115,3110,7.63
Q12,87265,8.76
Q13,71999,8.37
Q14,4150,7.02
Q15,30723,9.16
Q15A,34165,9.27
Q16,41249,10.1
Q17,156420,8.29
Q18,87970,6.85
Q19,45746,9.37
Q2,61742,8.72
Q20,6269,7.52
Q20A,78096,7.53
Q20B,69068,7.06
Q21,24606,10.74
Q22,83102,9.95
Q23,177807,6.53
Q24,79594,7.52
Q25,227454,7.39
Q26,15021,9.08
Q27,261584,9.31
Q28,96513,8.93
Q29,52936,6.99
Q3,104106,10.65
Q30,121421,9.83
Q31,76800,8.75
Q32,88140,6.55
Q33,68992,6.13
Q34,77075,7.19
Q35,43272,16.25
Q36,65036,9.57
Q37,71075,8.4
Q38,82988,8.25
Q39,55631,8.35
Q4,114287,8.08
Q40,49696,7.49
Q41,69462,8.51
Q42,12032,8.38
Q43,159525,9.05
Q44+,233417,9.26
Q45,2476,10.59
Q46,199746,11.68
Q47,86037,7.15
Q48,31364,9.02
Q49,89087,5.91
Q5,140154,8.68
Q50,41806,14.16
Q51,925,9.2
Q52+,89549,13.33
Q53+,203005,11.7
Q54,126658,7.81
Q55,75975,7.69
Q56,78137,6.98
Q58,292447,7.48
Q59,74588,7.61
Q6,119073,7.6
Q60,137447,7.51
Q61,988,9.75
Q63,3959,7.87
Q64,88911,8.74
Q65,225706,8.08
Q66,181892,8.04
Q67,26687,9.71
Q69,109813,7.42
Q7,58538,8.45
Q70+,72670,12.37
Q72,71041,6.3
Q74,903,11.16
Q75,1172,9.26
Q76,66447,9.83
Q77,88286,8.61
Q8,104840,7.26
Q82,992,9.47
Q83,92316,9.18
Q84,51206,10.21
Q85,135901,9.56
Q86,1876,9.57
Q87,1943,9.56
Q88,139937,11.04
Q89,1799,9.55
Q9,43452,7.03
Q90,308,10.55
Q98,3745,8.04
S40,45037,15.32
S42,8249,11.3
S44,68304,10.93
S46,79838,10.94
S48,65099,9.39
S51,35929,12.36
S52,41837,10.8
S53,92795,11.71
S54,20356,12.19
S55,10691,14.11
S56,14012,14.01
S57,20774,12.93
S59,44595,12.92
S61,40429,11.77
S62,35554,12.18
S66,14887,11.68
S74,60889,13.12
S76,50713,11.05
S78,93177,13.52
S79+,94165,14.36
S81,1809,12.78
S84,2597,13.32
S86,988,10.6
S89,5988,16.96
S90,10601,16.78
S91,8519,11.71
S92,6930,11.81
S93,60118,13.12
S94,8215,11.83
S96,11883,11.49
S98,13083,10.58
